Meno	S1	S2	S3	S3_2011	S3_2012	S3_2013	S3a	S4	S4a	S4b	S4c	S4d	S5	S5a	S5b	S5c	S5d	S6	S7	S8	S8a	S8b	S9	S10	S11	S12	S13	S14	S15	S16a	S16b	S16c	S16d	S16e	S16f	S16g	S16h
Mgr. Iveta Bebejová	0	0	2011 - 2013	Okresný súd Dolný Kubín	Okresný súd Dolný Kubín	Okresný súd Dolný Kubín	2011 - Okresný súd Dolný Kubín; 2012 - Okresný súd Dolný Kubín; 2013 - Okresný súd Dolný Kubín	bola prideľovaná najmä agenda Starostlivosti o maloletých	19	145	452	0	rozhodoval najmä v agende Starostlivosti o maloletých	19	145	452	0	627	94	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 75,4 % prípadoch, pričom priemer v SR v rovnakej agende je 65,5 %.	69	52	Odvolanie proti rozhodnutiam sudcu je podávané v približne 11,2 % prípadoch. Priemer v SR je v rovnakej agende 7,2 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2,8 %, pričom priemer v SR v rovnakej agende je 2,5 %.	Odhadovaná priemerná dĺžka konania sporu je 93 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 50 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 22 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 25,9 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 97 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 27,75 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 73. - 81. mieste. Za kvalitu získal 8,5 z 15 možných bodov, za efektivitu 19,25 z 25.		"2011 - školenia 7 dní

28.2.2011 - Vnútroštátne aplikácie práva EU v aktuálnej súdnej praxi, prejudiciálne konanie pred súdnym dvorom EÚ - Omšenie
2.-3. 3. 2011 - Vyhľadávanie a výklad práva EÚ vnútroštátnym sudcom - sudcovská tvorba práva - Omšenie
7-8.9.2011 - Spotrebiteľské zmluvy v aplikačnej praxi - Omšenie
18.-19.10.2011 - Pracovné stretnutie sudcov rozšíreného občianskoprávneho kolégia - Omšenie 
; 2012 - Vzdelávanie			5 dní

9.-10.2.2012 - Aktuálna rozhodovacia činnosť špecializovaných rodinných senátov 
23.-24.10.2012 - pracovné stretnutie sudcov obč. a obchodnej agendy 
9.11.2012 - Striedavá starostlivosť - Banská Bystrica
17.12.2012 - Exekučné právo Omšenie 

; 2013 -      15-16.4.2013 - Európsky platobný rozkaz, európske konanie s nízkou hodnotou spolu a ďalšie predpisy EU"		"2011 - školenia 7 dní

28.2.2011 - Vnútroštátne aplikácie práva EU v aktuálnej súdnej praxi, prejudiciálne konanie pred súdnym dvorom EÚ - Omšenie
2.-3. 3. 2011 - Vyhľadávanie a výklad práva EÚ vnútroštátnym sudcom - sudcovská tvorba práva - Omšenie
7-8.9.2011 - Spotrebiteľské zmluvy v aplikačnej praxi - Omšenie
18.-19.10.2011 - Pracovné stretnutie sudcov rozšíreného občianskoprávneho kolégia - Omšenie 
"		"2012 - Vzdelávanie			5 dní

9.-10.2.2012 - Aktuálna rozhodovacia činnosť špecializovaných rodinných senátov 
23.-24.10.2012 - pracovné stretnutie sudcov obč. a obchodnej agendy 
9.11.2012 - Striedavá starostlivosť - Banská Bystrica
17.12.2012 - Exekučné právo Omšenie 

"		2013 -      15-16.4.2013 - Európsky platobný rozkaz, európske konanie s nízkou hodnotou spolu a ďalšie predpisy EU
Mgr. Iveta Sonderlichová	0	0	2011 - 2013	Okresný súd Košice okolie	Okresný súd Košice okolie	Okresný súd Košice okolie	2011 - Okresný súd Košice okolie; 2012 - Okresný súd Košice okolie; 2013 - Okresný súd Košice okolie	bola prideľovaná najmä Trestná agenda	0	0	17	401	rozhodoval najmä v Trestnej agende	0	0	17	401	629	37	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 48,3 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	29	14	Odvolanie proti rozhodnutiam sudcu je podávané v približne 6,9 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 3,6 %, pričom priemer v SR v rovnakej agende je 4 %.	Odhadovaná priemerná dĺžka konania sporu je 75 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 19 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 9 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 36 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 116,5 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 27 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 93. - 100. mieste. Za kvalitu získal 7 z 15 možných bodov, za efektivitu 20 z 25.	2013 - 1SprR/24/2011 -  zastavený nápad s účinnosťou od 07.11.2011 - vymenovanie do funkcie podpredsedníčky súdu	"2011 - prednášková činnosť v období: 04.-05.04.2011; 11.-12.04.2011; 05.-07.09.2011; 12.-14.09.2011 ; 2012 - Prednášková činnosť v období: 08.10.2012; 10.10.2012; 22.10.2012; 24.10.2012; 2013 - 28.11.2013 - ""Odborný seminár sudcov"" - poslucháč;     17.12.2013 - ""Práca s aplikáciou APD"" - poslucháč"		2011 - prednášková činnosť v období: 04.-05.04.2011; 11.-12.04.2011; 05.-07.09.2011; 12.-14.09.2011 		2012 - Prednášková činnosť v období: 08.10.2012; 10.10.2012; 22.10.2012; 24.10.2012	2013 - 1SprR/24/2011 -  zastavený nápad s účinnosťou od 07.11.2011 - vymenovanie do funkcie podpredsedníčky súdu	"2013 - 28.11.2013 - ""Odborný seminár sudcov"" - poslucháč;     17.12.2013 - ""Práca s aplikáciou APD"" - poslucháč"
Mgr. Ivica Blecharžová	2	2	2011 - 2013	Okresný súd Bratislava V	Okresný súd Bratislava V	Okresný súd Bratislava V	2011 - Okresný súd Bratislava V; 2012 - Okresný súd Bratislava V; 2013 - Okresný súd Bratislava V	bola prideľovaná najmä Obchodná agenda	0	978	0	0	rozhodoval najmä v Obchodnej agende	0	978	0	0	643	156	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 50 % prípadoch, pričom priemer v SR v rovnakej agende je 63,7 %.	36	18	Odvolanie proti rozhodnutiam sudcu je podávané v približne 3,7 % prípadoch. Priemer v SR je v rovnakej agende 9,7 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,8 %, pričom priemer v SR v rovnakej agende je 3,4 %.	Odhadovaná priemerná dĺžka konania sporu je 592 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 514 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 294 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 53,4 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 110,5 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 13,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 663. - 669. mieste. Za kvalitu získal 6,75 z 15 možných bodov, za efektivitu 6,5 z 25.		"2011 - 
SEMINÁR - 2 dni; 2013 - 
Seminár - 2 dni"		"2011 - 
SEMINÁR - 2 dni"				"2013 - 
Seminár - 2 dni"
Mgr. Ivo Maruščák	0	0	2011 - 2012	Okresný súd Svidník	Okresný súd Svidník		2011 - Okresný súd Svidník; 2012 - Okresný súd Svidník	bola prideľovaná najmä Trestná agenda	0	0	0	356	rozhodoval najmä v Trestnej agende	0	0	0	356	450	70	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 29,6 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	27	8	Odvolanie proti rozhodnutiam sudcu je podávané v približne 7,6 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 5,3 %, pričom priemer v SR v rovnakej agende je 4 %.	Pre sudcu evidujeme menej ako 20 rozhodnutí, preto jeho efektivitu nehodnotíme.	N/A	N/A	N/A	Dáta o kvalite a efektivite sudcu nepovažujeme za dostatočné, preto sudcu bodovo nehodnotíme.								
Mgr. Jana Benkovičová	0	0	2011 - 2013	Okresný súd Nitra	Okresný súd Nitra	Okresný súd Nitra	2011 - Okresný súd Nitra; 2012 - Okresný súd Nitra; 2013 - Okresný súd Nitra	bola prideľovaná najmä Občiansko-právna agenda	978	0	0	0	rozhodoval najmä v Občiansko-právnej agende	978	0	0	0	585	167	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 54,8 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	62	34	Odvolanie proti rozhodnutiam sudcu je podávané v približne 6,3 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2,9 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 303 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 312 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 172 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 42,3 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 116,8 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 19,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 473. - 480. mieste. Za kvalitu získal 6,25 z 15 možných bodov, za efektivitu 13 z 25.	"2011 - Nebol dôvod na zníženie nápadu.
; 2012 - Nebol dôvod na zníženie nápadu

; 2013 - Nebol dôvod na zníženie nápadu."	2011 - Sudca sa nezúčastnil žiadnych vzdelávacích aktivít.; 2012 - Sudca sa zúčastnil na vzdelávacích aktivitách 1x.; 2013 - Sudca sa nezúčastnil na žiadnej zo vzdelávacích aktivít.	"2011 - Nebol dôvod na zníženie nápadu.
"	2011 - Sudca sa nezúčastnil žiadnych vzdelávacích aktivít.	"2012 - Nebol dôvod na zníženie nápadu

"	2012 - Sudca sa zúčastnil na vzdelávacích aktivitách 1x.	2013 - Nebol dôvod na zníženie nápadu.	2013 - Sudca sa nezúčastnil na žiadnej zo vzdelávacích aktivít.
Mgr. Jana Diškanová	0	0	2011 - 2013	Okresný súd Banská Bystrica	Okresný súd Banská Bystrica	Okresný súd Banská Bystrica	2011 - Okresný súd Banská Bystrica; 2012 - Okresný súd Banská Bystrica; 2013 - Okresný súd Banská Bystrica	bola prideľovaná najmä agenda Starostlivosti o maloletých	0	0	1102	0	rozhodoval najmä v agende Starostlivosti o maloletých	0	0	1102	0	628	181	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 66,7 % prípadoch, pričom priemer v SR v rovnakej agende je 65,5 %.	102	68	Odvolanie proti rozhodnutiam sudcu je podávané v približne 9,3 % prípadoch. Priemer v SR je v rovnakej agende 7,2 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 3,1 %, pričom priemer v SR v rovnakej agende je 2,5 %.	Odhadovaná priemerná dĺžka konania sporu je 124 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 142 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 22 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 15,3 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 97,9 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 26 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 124. - 135. mieste. Za kvalitu získal 6,75 z 15 možných bodov, za efektivitu 19,25 z 25.		"2011 - 28.03.2011 - Občianskoprávne grémium, 
05.12.2011 - Občianskoprávne grémium, 
október 2011 - vystúpenie v televízii SR o rodinných súdoch; 2012 - Najlepší záujem dieťaťa vo výkone sociálnoprávnej ochrany,12.13.04.2012,UPSVaR Horná Krúpa pri Trnave,
6.pracovné stretnutie sudcov vybavujúcich agendu P,25.-26.10.2012,Omšenie"		"2011 - 28.03.2011 - Občianskoprávne grémium, 
05.12.2011 - Občianskoprávne grémium, 
október 2011 - vystúpenie v televízii SR o rodinných súdoch"		"2012 - Najlepší záujem dieťaťa vo výkone sociálnoprávnej ochrany,12.13.04.2012,UPSVaR Horná Krúpa pri Trnave,
6.pracovné stretnutie sudcov vybavujúcich agendu P,25.-26.10.2012,Omšenie"		
Mgr. Jana Kosorínová	0	0	2011 - 2013	Okresný súd Levice	Okresný súd Levice	Okresný súd Levice	2011 - Okresný súd Levice; 2012 - Okresný súd Levice; 2013 - Okresný súd Levice	bola prideľovaná najmä agenda Starostlivosti o maloletých	2	0	1251	0	rozhodoval najmä v agende Starostlivosti o maloletých	2	0	1251	0	652	205	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 57,6 % prípadoch, pričom priemer v SR v rovnakej agende je 65,5 %.	85	49	Odvolanie proti rozhodnutiam sudcu je podávané v približne 6,8 % prípadoch. Priemer v SR je v rovnakej agende 7,2 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2,9 %, pričom priemer v SR v rovnakej agende je 2,5 %.	Odhadovaná priemerná dĺžka konania sporu je 170 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 218 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 85 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 38,1 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 110,9 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 22,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 299. - 317. mieste. Za kvalitu získal 6,25 z 15 možných bodov, za efektivitu 16 z 25.	2011 - Nemá znížený nápad; 2012 - Nebol dôvod na zníženie nápadu.; 2013 - Od 1.7.2013 bola vymenovaná za podpredsedníčku OS. Dodatkom č.8/2013 v súvislosti s vymenovaním do tejto funkcie jej bol znížený nápad v agende P. Zastupuje predsedu súdu v čase jeho neprítomnosti v rozsahu jeho práv a povinností, vykonáva činnosť v súlade s citovaným Dodatkom pod pism. b - f.	2011 - 0 dní; 2012 - Sudca sa zúčastnil na vzdelávacích aktivitách 2x; 2013 - Nevykazujeme účasť.	2011 - Nemá znížený nápad	2011 - 0 dní	2012 - Nebol dôvod na zníženie nápadu.	2012 - Sudca sa zúčastnil na vzdelávacích aktivitách 2x	2013 - Od 1.7.2013 bola vymenovaná za podpredsedníčku OS. Dodatkom č.8/2013 v súvislosti s vymenovaním do tejto funkcie jej bol znížený nápad v agende P. Zastupuje predsedu súdu v čase jeho neprítomnosti v rozsahu jeho práv a povinností, vykonáva činnosť v súlade s citovaným Dodatkom pod pism. b - f.	2013 - Nevykazujeme účasť.
Mgr. Janette Nôtová	0	0	2011 - 2013	Okresný súd Zvolen	Okresný súd Zvolen	Okresný súd Zvolen	2011 - Okresný súd Zvolen; 2012 - Okresný súd Zvolen; 2013 - Okresný súd Zvolen	bola prideľovaná najmä Trestná agenda	22	5	6	831	rozhodoval najmä v Trestnej agende	22	5	6	831	617	133	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 51 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	100	51	Odvolanie proti rozhodnutiam sudcu je podávané v približne 11,6 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 5,7 %, pričom priemer v SR v rovnakej agende je 4 %.	Odhadovaná priemerná dĺžka konania sporu je 174 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 140 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 82 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 47,4 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 108,9 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 21,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 346. - 354. mieste. Za kvalitu získal 6 z 15 možných bodov, za efektivitu 15,5 z 25.	"2011 - 
----------------------------------------------------------------; 2013 - ---"	"2011 - Účasť na zasadnutí trestnoprávneho kolégia - 2 dni; 2012 - 26. - 27. 04. 2012 - pracovné stretnutie sudcov obvodu Krajského súdu v Banskej Bystrici, 
21. - 22..05. 2012 - pracovné stretnutie sudcov Okresného súdu Zvolen,
04. - 05. 10. 2012 - rokovanie trestnoprávneho kolégia; 2013 - 25. 04. - 26. 04. 2013 Pracovné stretnutie sudcov banskobystrického kraja, Omšenie; 17. 10. - 18. 10. 2013 Pracovné stretnutie OPK banskobystrického kraja, Omšenie; 21. 10. - 22. 10. 2013 Pracovné stretnutie TPK banskobystrického kraja, Omšenie; "	"2011 - 
----------------------------------------------------------------"	2011 - Účasť na zasadnutí trestnoprávneho kolégia - 2 dni		"2012 - 26. - 27. 04. 2012 - pracovné stretnutie sudcov obvodu Krajského súdu v Banskej Bystrici, 
21. - 22..05. 2012 - pracovné stretnutie sudcov Okresného súdu Zvolen,
04. - 05. 10. 2012 - rokovanie trestnoprávneho kolégia"	2013 - ---	2013 - 25. 04. - 26. 04. 2013 Pracovné stretnutie sudcov banskobystrického kraja, Omšenie; 17. 10. - 18. 10. 2013 Pracovné stretnutie OPK banskobystrického kraja, Omšenie; 21. 10. - 22. 10. 2013 Pracovné stretnutie TPK banskobystrického kraja, Omšenie; 
Mgr. Jarmila Bíliková	0	0	2011 - 2013	Okresný súd Skalica	Okresný súd Skalica	Okresný súd Skalica	2011 - Okresný súd Skalica; 2012 - Okresný súd Skalica; 2013 - Okresný súd Skalica	bola prideľovaná najmä Občiansko-právna agenda	986	23	12	23	rozhodoval najmä v Občiansko-právnej agende	986	23	12	23	630	172	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 60,3 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	78	47	Odvolanie proti rozhodnutiam sudcu je podávané v približne 7,5 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 3 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 176 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 124 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 101 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 54 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 166,9 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 23,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 233. - 240. mieste. Za kvalitu získal 7 z 15 možných bodov, za efektivitu 16,5 z 25.	2013 - Do súdneho oddelenia 1 (Mgr. Bíliková) bol zastavený nápad nových vecí s účinnosťou od 1.5.2013 z dôvodu vymenovania sudkyne do funkcie predsedníčky súdu za účelom plnenia povinností  predsedu súdu vyplývajúcich zo zákona.   V súdnom oddelení bolo ku dňu 30.4.2013 celkom 320 nevybavených vecí (C, Cpr, Cb, P), ktoré neboli zmenou rozvrhu práce pridelené na prejednanie a rozhodnutie do iných senátov v zmysle ustanovenia § 51a Zák.č. 757/2004 Z.z.  Veci sa naďalej prejednávajú a rozhodujú v súdnom oddelení 1 - predsedníčky súdu. K prerozdeleniu neprišlo z toho dôvodu, že všetky senáty na súde sú nadmieru zaťažené a stav v jednotlivých oddeleniach by sa zhoršil pri pridelení ďalších aj reštančných vecí, ktoré neboli doteraz vybavené oproti novým prideleným veciam.	"2011 - Seminár - spotrebiteľské zmluvy v praxi (2 dni); 2012 - Seminár - Spotrebiteľské zmluvy v praxi (2 dni)
Školenie sudcov organizované KS Trnava - Omšenie (3 dni); 2013 - Školenie sudcov organizované KS Trnava - Omšenie (3 dni)"		2011 - Seminár - spotrebiteľské zmluvy v praxi (2 dni)		"2012 - Seminár - Spotrebiteľské zmluvy v praxi (2 dni)
Školenie sudcov organizované KS Trnava - Omšenie (3 dni)"	2013 - Do súdneho oddelenia 1 (Mgr. Bíliková) bol zastavený nápad nových vecí s účinnosťou od 1.5.2013 z dôvodu vymenovania sudkyne do funkcie predsedníčky súdu za účelom plnenia povinností  predsedu súdu vyplývajúcich zo zákona.   V súdnom oddelení bolo ku dňu 30.4.2013 celkom 320 nevybavených vecí (C, Cpr, Cb, P), ktoré neboli zmenou rozvrhu práce pridelené na prejednanie a rozhodnutie do iných senátov v zmysle ustanovenia § 51a Zák.č. 757/2004 Z.z.  Veci sa naďalej prejednávajú a rozhodujú v súdnom oddelení 1 - predsedníčky súdu. K prerozdeleniu neprišlo z toho dôvodu, že všetky senáty na súde sú nadmieru zaťažené a stav v jednotlivých oddeleniach by sa zhoršil pri pridelení ďalších aj reštančných vecí, ktoré neboli doteraz vybavené oproti novým prideleným veciam.	2013 - Školenie sudcov organizované KS Trnava - Omšenie (3 dni)
Mgr. Jaroslav Gallo	0	0	2011	Okresný súd Brezno			2011 - Okresný súd Brezno	bola prideľovaná najmä Občiansko-právna agenda	116	0	0	0	rozhodoval najmä v Občiansko-právnej agende	116	0	0	0	95	120	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 19 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	21	4	Odvolanie proti rozhodnutiam sudcu je podávané v približne 18,1 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 14,7 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Pre sudcu evidujeme menej ako 20 rozhodnutí, preto jeho efektivitu nehodnotíme.	N/A	N/A	N/A	Dáta o kvalite a efektivite sudcu nepovažujeme za dostatočné, preto sudcu bodovo nehodnotíme.	2011 - S účinnosťou od 15.11.2010 do 28.02.2011 sudcovi pozastavený nápad, z dôvodu jeho dočasného pridelenia  na Krajský súd Banská Bystrica, za účelom vykonania stáže (Spr 837/2010 - Dodatok č. 9 k Rozvrhu práce na rok 2010, zo dňa 12.11.2010).	2011 - Dočasné pridelenie sudcu na Krajský súd Banská Bystrica za účelom vykonania stáže (od 15.11.2010 do 28.02.2011).	2011 - S účinnosťou od 15.11.2010 do 28.02.2011 sudcovi pozastavený nápad, z dôvodu jeho dočasného pridelenia  na Krajský súd Banská Bystrica, za účelom vykonania stáže (Spr 837/2010 - Dodatok č. 9 k Rozvrhu práce na rok 2010, zo dňa 12.11.2010).	2011 - Dočasné pridelenie sudcu na Krajský súd Banská Bystrica za účelom vykonania stáže (od 15.11.2010 do 28.02.2011).				
Mgr. Jozef Mačej	0	0	2011	Okresný súd Trnava			2011 - Okresný súd Trnava	bola prideľovaná najmä Obchodná agenda	0	4	0	0	rozhodoval najmä v Obchodnej agende	0	4	0	0	19	32	Evidujeme menej ako 10 odvolaní o rozhodnutiach sudcu, preto dáta považujeme za nereprezentatívne.	1	0	N/A	N/A	Pre sudcu evidujeme menej ako 20 rozhodnutí, preto jeho efektivitu nehodnotíme.	N/A	N/A	N/A	Dáta o kvalite a efektivite sudcu nepovažujeme za dostatočné, preto sudcu bodovo nehodnotíme.								
Mgr. Jozef Nadzam	0	0	2011 - 2013	Okresný súd Trebišov	Okresný súd Trebišov	Okresný súd Trebišov	2011 - Okresný súd Trebišov; 2012 - Okresný súd Trebišov; 2013 - Okresný súd Trebišov	bola prideľovaná najmä Trestná agenda	1	3	0	767	rozhodoval najmä v Trestnej agende	1	3	0	767	642	117	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 40,9 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	22	9	Odvolanie proti rozhodnutiam sudcu je podávané v približne 2,9 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,7 %, pričom priemer v SR v rovnakej agende je 4 %.	Odhadovaná priemerná dĺžka konania sporu je 90 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 66 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 26 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 38,2 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 106 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 26,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 119. - 123. mieste. Za kvalitu získal 7,75 z 15 možných bodov, za efektivitu 18,5 z 25.								
Mgr. Jozef Trizna	0	0	2011	Okresný súd Lučenec			2011 - Okresný súd Lučenec	bola prideľovaná najmä agenda Starostlivosti o maloletých	0	0	369	0	rozhodoval najmä v agende Starostlivosti o maloletých	0	0	369	0	204	179	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 78,9 % prípadoch, pričom priemer v SR v rovnakej agende je 65,5 %.	19	15	Odvolanie proti rozhodnutiam sudcu je podávané v približne 5,1 % prípadoch. Priemer v SR je v rovnakej agende 7,2 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,1 %, pričom priemer v SR v rovnakej agende je 2,5 %.	Pre sudcu evidujeme menej ako 20 rozhodnutí, preto jeho efektivitu nehodnotíme.	N/A	N/A	N/A	Dáta o kvalite a efektivite sudcu nepovažujeme za dostatočné, preto sudcu bodovo nehodnotíme.	2011 - ----	2011 - 0	2011 - ----	2011 - 0				
